Phrase	Anno	Maj_anno	Sentence
Diskussion entfachen	Figurative,Figurative,Figurative	Figurative	Ereignisse wie die BSE - und die Dioxin-Krise haben in der Öffentlichkeit zunehmend eine Diskussion über die Umstände entfacht , unter denen vorbeugende Maßnahmen gerechtfertigt und notwendig erscheinen .
Debatte in Gang setzen	Figurative,Figurative,Figurative	Figurative	Das erste bestand darin zu beschreiben , wie die Kommission den Prozess der Vereinfachung in Angriff genommen hat ; das zweite bestand in der Vorlage eines Arbeitsdokuments der Kommission , in dem die wichtigsten Zahlenangaben des Sektors , die Arbeitsweise der Erzeugerorganisationen und die damit verbundenen Betriebsfonds und Haushaltsaspekte analysiert wurden ; und drittens ging es darum , die Debatte im Rat , im Europäischen Parlament und innerhalb des Sektors in Gang zu setzen .
Debatte anstoßen	Figurative,Figurative,Figurative	Figurative	Trotzdem sollten wir uns fragen , ob der Europäische Rat die richtige Stelle ist , um die umfassende Debatte über die soziale und wirtschaftliche Zukunft Europas anzustoßen und zu leiten .
für die Diskussion Anstoß geben	Figurative,Figurative,Figurative	Figurative	Das Grünbuch hat den Anstoß für die breite und -- wie ich meine -- begrüßenswerte Diskussion gegeben , die zur Zeit darüber geführt wird , wie die Hindernisse für eine deutliche Energieeinsparung bis 2020 ausgeräumt werden können .
Debatte anregen	Literal,Literal,Literal	Literal	Wie können die politischen Parteien und NRO zusätzlich dazu beitragen , die Öffentlichkeit für europäische Themen zu sensibilisieren und politische Debatten anzuregen ?
Debatte in Gang kommen	Figurative,Figurative,Figurative	Figurative	Die Kommission ist überzeugt davon , dass das Parlament dazu beitragen wird , dass diese Debatte in Gang kommt , und zwar wie üblich in institutionellen Fragen .
Diskussion anregen	Figurative,Literal,Literal	Literal	Das Europäische Parlament und die Zivilgesellschaft spielen seit jeher eine entscheidende Rolle , wenn es darum geht , die Bemühungen der Europäischen Union um die Abschaffung der Todesstrafe zu unterstützen und die Diskussion über die Mittel zur Stärkung unserer Politik anzuregen .,Der jährliche Bericht der Kommission zum Euroraum dient dazu , eine weitreichende Diskussion zur Wirtschaftspolitik des Euroraums anzuregen .
Debatte auslösen	Literal,Literal,Literal	Literal	Die Kommission will mit dem Grünbuch eine Debatte über den Einsatz handelspolitischer Schutzinstrumente wie Ausgleich - oder Antidumpingmaßnahmen sowie Schutzklauseln in Europa auslösen .
Wachstum stimulieren	Literal,Figurative,Literal	Literal	Zweitens wird die Luftfahrt durch den jetzigen politischen Rahmen künstlich subventioniert , wodurch dieses Wachstum nur noch mehr stimuliert wird .
Gedanke vortragen	Figurative,Literal,Literal	Literal	Insbesondere wird der Gedanke einer Rahmenrichtlinie über unlautere Geschäftspraktiken vorgetragen .
Idee vortragen	Figurative,Literal,Literal	Literal	Herr Präsident , Frau Kommissarin ! Nach all diesen Redebeiträgen möchte ich meinen Kolleginnen und Kollegen , den Schattenberichterstattern und auch den Berichterstattern der Ausschüsse danken , die Stellungnahmen erstellt , die mir viele Ideen vorgetragen und die es möglich gemacht haben , den Text , über den wir heute abstimmen , zu verbessern .
Idee vorschlagen	Figurative,Literal,Literal	Literal	Ich schlage vor und halte an der Idee fest , daß eine Seite der Banknoten und Münzen den derzeit in Umlauf befindlichen Noten gleichen sollte .
Problem kennen	Literal,Literal,Literal	Literal	Sie sind die Schlüsselpersonen in den Entwicklungsländern und kennen die sozialen , politischen und kulturellen Probleme , die uns nicht bewusst sind , wenn wir uns für kurze Zeit als Wahlbeobachter in diesen Ländern aufhalten .
für Problem Verständnis haben	Literal,Literal,Literal	Literal	Wir haben natürlich auch Verständnis für Ihre Probleme hinsichtlich der Überschneidung von Programmen , was Ihnen Probleme bei der Kontinuität schafft .
Worum es geht verstehen	Figurative,Literal,Figurative	Figurative	Ich bin sicher , Sie verstehen nun , worum es in meiner Anfrage geht und werden dazu Stellung nehmen . Ich hoffe , Sie werden sicherstellen , dass diese Gelder , die von Diktatoren und Terroristen illegal transferiert wurden , an die Menschen in den verschiedenen ehemaligen Kolonien zurückgegeben werden .
Bedeutung verstehen	Literal,Literal,Literal	Literal	Warum isolieren wir den islamischen Fundamentalismus und stellen ihn an den Pranger , wenn wir die Bedeutung und die Philosophie des Islam nicht wirklich verstehen ?
was mit etw. gemeint ist wissen	Literal,Literal,Figurative	Literal	Nach dem 30 . Januar 2000 wussten sie , was mit „ Umweltpolitik `` gemeint ist , nämlich eine derartige Verseuchung zu verhindern , bei der 100 000 m3 gefährlicher Schlamm in die Theiß geschwemmt wurden , so dass seine Flora und Fauna zerstört wurde .
Argument verstehen	Literal,Literal,Literal	Literal	Ich verstehe Frau Fontaines Argumente vollkommen , aber ich bitte Sie im Namen aller Mitglieder dieses Parlaments , uns über den Prozess besser auf dem Laufenden zu halten .
mit Problem vertraut sein	Literal,Literal,Literal	Literal	Um Zeit zu sparen , setze ich voraus , daß die Abgeordneten des Hauses mit ozonbedingten respiratorischen und sonstigen gesundheitlichen Problemen vertraut und an einer Linderung dieser Probleme interessiert sind .
Problem verstehen	Literal,Literal,Literal	Literal	Ich verstehe das Problem nicht .
Problem erkennen	Literal,Literal,Literal	Literal	Man hat mich in Frankfurt empfangen und teilte mir mit , das Vorgehen hinsichtlich der Sonderzulagen sei geändert worden , man hätte die Probleme in Bezug auf das Projektmanagement erkannt , so dass mein Bericht nach diesem Treffen mit der EZB zwar nicht freundlich ausfiel , aber immerhin freundlicher .
Verständnis Problem	Literal,Literal,Literal	Literal	Die Mitteilung der Kommission und der Bericht Linkohr tragen erheblich zum Verständnis des Problems und zum Aufzeigen möglicher Lösungen bei .
Frage verstehen	Literal,Literal,Literal	Literal	Ich verstehe diese Frage vollkommen .
Klarheit bezüglich Notwendgkeit herrschen	Figurative,Literal,Figurative	Figurative	Dank der vom Rechnungshof und dem Innenrevisionsdienst der Kommission in Zusammenarbeit mit den verschiedenen zuständigen Dienststellen der Kommission geleisteten Arbeit herrscht meiner Ansicht nach jetzt mehr Klarheit bezüglich der Notwendigkeit eines soliden Finanzmanagements für die Haushaltsbeihilfe .
Grund kennen	Literal,Literal,Literal	Literal	Frau Präsidentin , ich möchte Sie und meine Kolleginnen und Kollegen darauf aufmerksam machen , dass ich zwar die Gründe kenne , die Sie dazu veranlasst haben , den Kahn und damit die Tagesordnung vom Mittwoch derart zu überladen , was die zu erörternden politischen Themen betrifft , jedoch verfügen Rat und Kommission über die gleiche Redezeit wie alle Europaabgeordneten zusammen : 90 Minuten für den Rat und die Kommission , 90 Minuten für die Abgeordneten .
Beweggrunde verstehen	Literal,Literal,Literal	Literal	Wir würden jedoch der Tatsache entgegentreten wollen , dass den Vorschlägen keine der beiden Anlagen beigefügt wurde , obwohl wir die Beweggründe dafür verstehen .
Grund verständlich sein	Literal,Literal,Literal	Literal	Im Gegenteil , ich sagte , diese Gründe seien für uns voll und ganz verständlich , und ihr gälte unser aufrichtiges Mitgefühl .
sich um Einblick in Situation bemühen	Figurative,Figurative,Literal	Figurative	Wir beteiligen uns an der Debatte über die Organisation der Hilfsmaßnahmen und bemühen uns um einen größtmöglichen Einblick in die Situation .
